団体コード,都道府県名,市区町村名,0～4歳,5～9,10～14,15～19,20～24,25～29,30～34,35～39,40～44,45～49,50～54,55～59,60～64,65～69,70～74,75～79,80～84,85～89,90～94,95～99,100歳以上
112038,埼玉県,川口市,24684,25600,25901,27082,34139,38005,38918,41333,46063,54133,46707,36558,29376,32921,35808,31138,21416,11762,4286,1126,149
112062,埼玉県,行田市,2383,2935,3304,3720,3852,3718,3882,4510,5476,6186,5424,5082,5571,6471,6677,5078,3271,2057,1009,286,44
112071,埼玉県,秩父市,1903,2322,2662,2897,2666,2465,2725,3157,3480,4318,4186,4194,4438,5001,4653,3920,3247,2311,1130,292,38
112089,埼玉県,所沢市,12364,13706,14458,15269,18472,17925,18923,21307,24609,28921,25287,21360,19043,22153,23961,20743,13741,7758,3272,841,120
112097,埼玉県,飯能市,2572,2899,3083,3467,3773,3626,3898,4457,4989,6117,5300,5325,5372,6486,6527,5102,3290,2072,894,274,30
112101,埼玉県,加須市,3664,4308,4868,5071,5326,5349,5981,6703,7519,8374,7205,7366,8360,9604,8580,6082,4128,2748,1383,370,54
112119,埼玉県,本庄市,2746,3081,3355,3692,3875,3818,3991,4643,5350,6124,5437,5018,5082,5682,5650,4395,3045,1976,977,275,31
112127,埼玉県,東松山市,3330,3683,3734,4016,4553,4473,4989,5373,6080,6910,5917,5463,6025,7015,6814,5309,3416,2107,871,230,40
112143,埼玉県,春日部市,7382,8583,9359,10384,11462,11043,11244,13141,15984,19867,17246,13904,13138,16953,19599,16966,10417,4929,1940,515,81
112151,埼玉県,狭山市,4743,5459,5837,6585,7581,7268,7493,8280,10169,12417,10395,8837,8793,11413,12547,10890,6533,3510,1496,411,62
112160,埼玉県,羽生市,1780,1983,2263,2588,2775,2745,2867,3063,3670,4124,3621,3407,3852,4219,4117,3110,2164,1413,676,178,27
112178,埼玉県,鴻巣市,4012,4579,5009,5283,5565,5571,6298,7081,8158,9080,7955,7483,7766,9098,9367,7264,4675,2600,1162,338,51
112186,埼玉県,深谷市,5029,5790,6553,7052,6814,6545,7395,8525,10043,11466,9547,8402,8916,11031,10675,8336,5450,3443,1678,450,79
112194,埼玉県,上尾市,8247,9203,9952,10973,11856,11447,11995,13630,16065,20207,17092,13701,12157,14259,15995,14926,9841,4819,1844,491,79
112216,埼玉県,草加市,8964,10126,10871,11956,14234,13651,13617,15443,18981,23695,19985,15095,11819,14059,16295,14644,9555,4660,1520,415,60
112224,埼玉県,越谷市,14018,15029,15264,15923,18275,18327,19712,22512,25674,30846,25814,19720,17210,20293,22889,20525,13304,6162,2369,566,96
112232,埼玉県,蕨市,2844,2778,2558,2893,4840,5814,5645,5330,5429,5987,5522,4593,3972,4137,4304,3677,2662,1757,723,185,29
112241,埼玉県,戸田市,7048,7172,6614,6589,9026,10085,10084,10963,11848,12861,10822,8505,5961,5907,5827,4981,3458,1937,732,198,24
112259,埼玉県,入間市,4956,5758,6447,7070,7270,6700,7254,8397,10100,12303,10509,9171,9113,11085,11276,9227,5943,3293,1341,459,55
112275,埼玉県,朝霞市,6680,6533,6216,6417,8691,9136,9528,10320,11113,12904,11318,8947,6554,6536,6953,6071,4284,2424,912,225,40
112283,埼玉県,志木市,3416,3474,3262,3349,4005,4105,4582,5342,5929,6568,5651,4418,3705,4372,4912,4136,2874,1626,560,159,29
112291,埼玉県,和光市,4042,3920,3469,3663,5491,6470,6657,6894,6915,7430,6187,4418,3423,3726,4016,3011,2153,1266,522,120,17
112305,埼玉県,新座市,6474,7522,7553,7582,8410,8251,8750,10570,12798,14659,12831,9830,8211,9488,10997,10062,6626,3488,1263,313,49
112313,埼玉県,桶川市,2572,3028,3144,3525,3550,3571,3883,4423,5141,6326,5427,4575,4325,5102,5643,5006,3442,1791,675,183,27
112321,埼玉県,久喜市,4969,5778,6282,6690,7107,7156,7848,8908,10588,12064,10091,9464,10067,12262,12594,9717,6096,3434,1501,390,60
112330,埼玉県,北本市,1928,2214,2653,3053,2990,2938,3174,3445,4313,5523,4703,4205,4203,5032,5388,4852,3169,1622,595,150,21
112348,埼玉県,八潮市,3970,3680,3909,4000,5027,6415,6490,6478,7234,8582,6687,4688,4083,4909,5684,5160,3143,1378,478,114,22
112356,埼玉県,富士見市,4506,4838,4745,5057,6387,6633,6495,7341,8328,9990,8390,6421,5150,6082,7166,6568,4325,2164,805,196,33
112372,埼玉県,三郷市,6233,6242,5897,5891,6606,7346,8776,10058,10863,11956,9483,7475,7655,9683,11066,8830,5024,2284,887,239,35
112381,埼玉県,蓮田市,2032,2272,2554,2673,2757,2792,3039,3535,4294,5086,4166,3376,3448,4533,5162,4577,2864,1538,649,186,37
112399,埼玉県,坂戸市,3291,4173,4649,5024,5490,4653,4835,5770,7581,8657,6547,5416,5437,7319,8242,6874,3940,1992,866,243,27
112402,埼玉県,幸手市,1306,1805,1988,2112,2150,2102,2271,2727,3479,4044,3186,2969,3432,4521,4846,3863,2243,1189,500,140,13
112411,埼玉県,鶴ヶ島市,2413,2646,3030,3525,3594,3389,3596,4055,5091,6182,4883,3881,3930,5156,5711,4596,2412,1170,501,151,23
112429,埼玉県,日高市,1599,2217,2724,2703,2473,2077,2296,3032,4040,4756,3550,2936,3254,4667,5097,4112,2254,1198,519,168,24
112437,埼玉県,吉川市,3237,3543,3858,3819,3834,3895,4198,4902,5651,6649,5102,3689,3592,4413,4956,3951,2141,1044,424,138,14
112453,埼玉県,ふじみ野市,4474,5195,5107,5564,6300,5676,5816,7190,8771,10293,8815,6868,5477,6188,7213,6779,4891,2476,930,247,36
112461,埼玉県,白岡市,2112,2233,2217,2348,2516,2638,2998,3189,3573,4322,3638,3264,3097,3561,3686,3229,2030,1120,485,129,19
113000,埼玉県,北足立郡,1682,2096,2733,2687,2309,2022,2200,2765,3677,4673,3280,2189,1922,2522,2950,2655,1381,725,268,82,12
113018,埼玉県,北足立郡伊奈町,1682,2096,2733,2687,2309,2022,2200,2765,3677,4673,3280,2189,1922,2522,2950,2655,1381,725,268,82,12
113204,埼玉県,入間郡,2257,3012,3527,4082,4212,3511,3494,4196,5780,7130,6040,4966,4984,6178,6989,6226,3797,1884,782,221,41
113247,埼玉県,入間郡三芳町,1254,1631,1839,1984,1848,1556,1658,2106,2884,3590,2961,2185,1950,2367,2931,2722,1647,720,281,65,12
113263,埼玉県,入間郡毛呂山町,773,1038,1295,1564,1823,1481,1400,1574,2190,2694,2289,1967,2171,2743,3034,2663,1597,837,303,98,17
